"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc"
"121","doc119",1,1,"service","1","service","service","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"122","doc120",1,1,"guy","1","guy","guy","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"123","doc121",1,1,"time","1","time","time","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"124","doc122",1,1,"says","1","says","say","VERB","VBZ","Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"125","doc123",1,1,"days","1","days","day","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n"
"126","doc124",1,1,"shall","1","shall","shall","AUX","MD","VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"127","doc125",1,1,"things","1","things","thing","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n"
"128","doc126",1,1,"im","1","im","im","X","ADD",NA,"0","root",NA,"SpacesAfter=\n"
"129","doc127",1,1,"think","1","think","think","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"130","doc128",1,1,"make","1","make","make","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"131","doc129",1,1,"say","1","say","say","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"132","doc130",1,1,"saying","1","saying","say","VERB","VBG","VerbForm=Ger","0","root",NA,"SpacesAfter=\n"
