"restaurant_name","cuisines","cost","timings","collections","url"
"La La Land - Bar & Kitchen","Finger Food, North Indian, Kebab, Chinese",1000,"12noon – 11:30pm (Mon-Sun)","Great Buffets","https://www.zomato.com/hyderabad/la-la-land-bar-kitchen-gachibowli"
"Shanghai Chef 2","Chinese, Thai, Indonesian, Asian",800,"12noon – 11pm (Mon-Sun)","Pan-Asian Delicacies","https://www.zomato.com/hyderabad/shanghai-chef-2-gachibowli"
"Barbeque Nation","Mediterranean, North Indian, Kebab, BBQ",1600,"12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)","Barbecue & Grill","https://www.zomato.com/hyderabad/barbeque-nation-gachibowli"
"Tempteys","Desserts, Beverages",350,"11:30am – 1am (Mon-Sun)","Best Milkshakes","https://www.zomato.com/hyderabad/tempteys-gachibowli"
"Ulavacharu","Andhra, North Indian, Chinese",1400,"12noon – 11:30pm (Mon-Sun)","Function Venues, Regional Favorites","https://www.zomato.com/hyderabad/ulavacharu-gachibowli"
"Mathura Vilas","South Indian, North Indian, Chinese",500,"11:30am – 3:30pm, 6:45pm – 11:30pm (Mon-Sun)","Veggie Friendly, Terrific Thalis","https://www.zomato.com/hyderabad/mathura-vilas-gachibowli"
"Owm Nom Nom","Chinese, Biryani, Andhra, North Indian",900,"12noon – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/owm-nom-nom-gachibowli"
"The Wonton","Chinese, Malaysian, Thai, Momos",850,"12noon – 11:30pm (Mon-Sat),12:30pm – 11:30pm (Sun)",NA,"https://www.zomato.com/hyderabad/the-wonton-gachibowli"
"Udipi's Upahar","South Indian, North Indian, Chinese",500,"6am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/udipis-upahar-gachibowli"
"Cafe Eclat","Cafe, Bakery",700,"8am – 11:30pm (Mon-Sun)","Sneak Peek Hyderabad","https://www.zomato.com/hyderabad/cafe-eclat-gachibowli"
"Biryanis And More","North Indian, Biryani, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/biryanis-and-more-gachibowli"
"PourHouse7","North Indian, Continental, Chinese, Italian",1200,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)...","Happy Hours, Top Drinking Destinations, Corporate Favorites","https://www.zomato.com/hyderabad/pourhouse7-gachibowli"
"Gal Punjab Di","North Indian, Continental",800,"11:55am – 4pm, 7pm – 11:15pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gal-punjab-di-gachibowli"
"KS Bakers","Bakery, Desserts, Fast Food",200,"9am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ks-bakers-gachibowli"
"Diners Pavilion","Chinese, Continental, Italian",1200,"12noon – 4:30pm, 6:30pm – 11:30pm...","Great Buffets, Live Sports Screenings","https://www.zomato.com/hyderabad/diners-pavilion-gachibowli"
"Hitech Bawarchi Food Zone","Biryani, North Indian, Chinese",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/hitech-bawarchi-food-zone-gachibowli"
"Being Hungry","North Indian, Chinese",450,"12noon – 3pm, 7pm – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/being-hungry-gachibowli"
